package_name,arch,package_id,cves,errata_id,severity,errata_type,satellite_repo,source_repo
gitweb-2.31.1-3.el8_7,noarch,112918,,RHSA-2023:0610,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
perl-Git-2.31.1-3.el8_7,noarch,112411,,RHSA-2023:0610,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
perl-Git-SVN-2.31.1-3.el8_7,noarch,112414,,RHSA-2023:0610,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
libXpm-3.5.12-9.el8_7,i686,112793,"CVE-2022-44617, CVE-2022-46285, CVE-2022-4883",RHSA-2023:0379,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
libXpm-3.5.12-9.el8_7,x86_64,112790,"CVE-2022-44617, CVE-2022-46285, CVE-2022-4883",RHSA-2023:0379,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
libXpm-devel-3.5.12-9.el8_7,i686,112798,,RHSA-2023:0379,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
libXpm-devel-3.5.12-9.el8_7,x86_64,112795,,RHSA-2023:0379,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
sudo-1.8.29-8.el8_7.1,x86_64,109135,CVE-2023-22809,RHSA-2023:0284,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
libxml2-2.9.7-15.el8_7.1,i686,109187,"CVE-2022-40303, CVE-2022-40304",RHSA-2023:0173,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
libxml2-2.9.7-15.el8_7.1,x86_64,109186,"CVE-2022-40303, CVE-2022-40304",RHSA-2023:0173,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
libxml2-2.9.7-15.el8_7.1,x86_64,109174,"CVE-2022-40303, CVE-2022-40304",RHSA-2023:0173,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
