package_name,package_id,errata_id
systemd-devel-239-68.el8_7.1,109129,RHSA-2023:0100
systemd-journal-remote-239-68.el8_7.1,109126,RHSA-2023:0100
systemd-libs-239-68.el8_7.1,109124,RHSA-2023:0100
systemd-libs-239-68.el8_7.1,109123,RHSA-2023:0100
systemd-pam-239-68.el8_7.1,109120,RHSA-2023:0100
systemd-tests-239-68.el8_7.1,109118,RHSA-2023:0100
systemd-udev-239-68.el8_7.1,109116,RHSA-2023:0100
zlib-1.2.11-21.el8_7,109104,RHBA-2023:0090
zlib-1.2.11-21.el8_7,109103,RHBA-2023:0090
zlib-devel-1.2.11-21.el8_7,109106,RHBA-2023:0090
zlib-devel-1.2.11-21.el8_7,109105,RHBA-2023:0090
kpatch-patch-4_18_0-425_10_1-0-0.el8_7,109347,RHEA-2023:0129
libipa_hbac-2.7.3-4.el8_7.3,109271,RHBA-2023:0124
libipa_hbac-2.7.3-4.el8_7.3,109269,RHBA-2023:0124
libipa_hbac-2.7.3-4.el8_7.3,109176,RHBA-2023:0124
libsss_autofs-2.7.3-4.el8_7.3,109230,RHBA-2023:0124
libsss_certmap-2.7.3-4.el8_7.3,109228,RHBA-2023:0124
libsss_certmap-2.7.3-4.el8_7.3,109226,RHBA-2023:0124
libsss_idmap-2.7.3-4.el8_7.3,109224,RHBA-2023:0124
libsss_idmap-2.7.3-4.el8_7.3,109222,RHBA-2023:0124
libsss_nss_idmap-2.7.3-4.el8_7.3,109220,RHBA-2023:0124
libsss_nss_idmap-2.7.3-4.el8_7.3,109219,RHBA-2023:0124
libsss_nss_idmap-2.7.3-4.el8_7.3,109175,RHBA-2023:0124
libsss_simpleifp-2.7.3-4.el8_7.3,109218,RHBA-2023:0124
libsss_simpleifp-2.7.3-4.el8_7.3,109217,RHBA-2023:0124
libsss_sudo-2.7.3-4.el8_7.3,109215,RHBA-2023:0124
python3-libipa_hbac-2.7.3-4.el8_7.3,109176,RHBA-2023:0124
python3-libsss_nss_idmap-2.7.3-4.el8_7.3,109175,RHBA-2023:0124
python3-sss-2.7.3-4.el8_7.3,109170,RHBA-2023:0124
python3-sssdconfig-2.7.3-4.el8_7.3,109169,RHBA-2023:0124
python3-sss-murmur-2.7.3-4.el8_7.3,109171,RHBA-2023:0124
sssd-2.7.3-4.el8_7.3,109136,RHBA-2023:0124
sssd-ad-2.7.3-4.el8_7.3,109152,RHBA-2023:0124
sssd-client-2.7.3-4.el8_7.3,109151,RHBA-2023:0124
sssd-client-2.7.3-4.el8_7.3,109150,RHBA-2023:0124
sssd-common-2.7.3-4.el8_7.3,109148,RHBA-2023:0124
sssd-common-pac-2.7.3-4.el8_7.3,109149,RHBA-2023:0124
sssd-dbus-2.7.3-4.el8_7.3,109147,RHBA-2023:0124
sssd-idp-2.7.3-4.el8_7.3,112317,RHBA-2023:0124
sssd-ipa-2.7.3-4.el8_7.3,109146,RHBA-2023:0124
sssd-kcm-2.7.3-4.el8_7.3,109145,RHBA-2023:0124
sssd-krb5-2.7.3-4.el8_7.3,109143,RHBA-2023:0124
sssd-krb5-common-2.7.3-4.el8_7.3,109144,RHBA-2023:0124
sssd-ldap-2.7.3-4.el8_7.3,109142,RHBA-2023:0124
sssd-nfs-idmap-2.7.3-4.el8_7.3,109141,RHBA-2023:0124
sssd-polkit-rules-2.7.3-4.el8_7.3,109140,RHBA-2023:0124
sssd-proxy-2.7.3-4.el8_7.3,109139,RHBA-2023:0124
sssd-tools-2.7.3-4.el8_7.3,109138,RHBA-2023:0124
sssd-winbind-idmap-2.7.3-4.el8_7.3,109137,RHBA-2023:0124
libblkid-2.32.1-39.el8_7,109330,RHBA-2023:0105
libblkid-2.32.1-39.el8_7,109327,RHBA-2023:0105
libblkid-devel-2.32.1-39.el8_7,109332,RHBA-2023:0105
libblkid-devel-2.32.1-39.el8_7,109331,RHBA-2023:0105
libfdisk-2.32.1-39.el8_7,109294,RHBA-2023:0105
libfdisk-2.32.1-39.el8_7,109292,RHBA-2023:0105
libfdisk-devel-2.32.1-39.el8_7,109300,RHBA-2023:0105
libfdisk-devel-2.32.1-39.el8_7,109298,RHBA-2023:0105
libmount-2.32.1-39.el8_7,109258,RHBA-2023:0105
libmount-2.32.1-39.el8_7,109256,RHBA-2023:0105
libmount-2.32.1-39.el8_7,112359,RHBA-2023:0105
libsmartcols-2.32.1-39.el8_7,109238,RHBA-2023:0105
libsmartcols-2.32.1-39.el8_7,109236,RHBA-2023:0105
libsmartcols-devel-2.32.1-39.el8_7,109242,RHBA-2023:0105
libsmartcols-devel-2.32.1-39.el8_7,109240,RHBA-2023:0105
