host_id,host_name,errata_ids,script_run_time
3,dev1.example.com,,2023-02-27 17:09:49
2,rhel.example.com,"RHSA-2023:0284,RHSA-2023:0173,RHSA-2023:0103,RHBA-2023:0120,RHBA-2023:0109,RHBA-2023:0097,RHSA-2023:0116,RHBA-2023:0098,RHBA-2023:0111,RHBA-2023:0094,RHSA-2023:0100,RHBA-2023:0090,RHBA-2023:0124,RHBA-2023:0105,RHBA-2023:0085,RHBA-2023:0104,RHSA-2023:0096,RHSA-2023:0110,RHSA-2023:0101,RHBA-2023:0106,RHSA-2023:0049,RHBA-2022:9028,RHBA-2022:8785,RHBA-2022:6712,RHBA-2022:1196,RHSA-2020:4072,RHEA-2020:1159,RHSA-2020:1080,RHBA-2020:1093,RHBA-2019:2179,RHEA-2019:2186,RHBA-2018:3508,RHEA-2018:3171,RHBA-2018:3082,RHSA-2018:3140,RHBA-2018:1046,RHEA-2017:1845,RHBA-2017:0905,RHBA-2016:2513,RHEA-2016:2190,RHSA-2016:1606,RHSA-2016:0724,RHSA-2016:0083,RHBA-2015:2569,RHBA-2015:2207,RHBA-2015:2213,RHSA-2015:1943,RHSA-2015:1793,RHSA-2015:1507,RHSA-2015:0999,RHEA-2015:0735,RHSA-2015:0349,RHBA-2014:1969,RHSA-2014:1669,RHBA-2014:1164,RHSA-2014:0927,RHSA-2014:0704",2023-02-27 17:09:49
